lineage_id,source_schema,source_table,target_schema,target_table,relationship_type,sp_name
1,"""bronze","brz_saleshistory_afi__invoicedetail_edw""",bronze,brz_saleshistory_afi__invoicedetail,direct,bronze.brz_saleshistory_afi__invoicedetail
2,"""bronze","brz_saleshistory_afi__invoiceheader_edw""",bronze,brz_saleshistory_afi__invoiceheader,direct,bronze.brz_saleshistory_afi__invoiceheader
3,"""bronze","brz_supplychain_enh_1__demandforecastsnapshotdaily_edw""",bronze,brz_supplychain_enh_1__demandforecastsnapshotdaily,direct,bronze.brz_supplychain_enh_1__demandforecastsnapshotdaily
4,"""Enterprise_Lakehouse","Wholesale_Codis_AFI.codatan""",bronze,brz_wholesale_codis_afi__codatan,direct,bronze.brz_wholesale_codis_afi__codatan
5,"""Enterprise_Lakehouse","Wholesale_Codis_AFI.COMAST""",bronze,brz_wholesale_codis_afi__comast,direct,bronze.brz_wholesale_codis_afi__comast
6,"""Enterprise_Lakehouse","Wholesale_Codis_AFI.EXTORD""",bronze,brz_wholesale_codis_afi__extord,direct,bronze.brz_wholesale_codis_afi__extord
7,"""Enterprise_Lakehouse","Wholesale_Codis_AFI.EXTORIT""",bronze,brz_wholesale_codis_afi__extorit,direct,bronze.brz_wholesale_codis_afi__extorit
8,"""Enterprise_Lakehouse","MasterData_DW.DimDate""",bronze,ref_calendar,direct,bronze.ref_calendar
9,"""Enterprise_Lakehouse","Customers.AccountMaster""",bronze,ref_customer_account,direct,bronze.ref_customer_account
10,"""Enterprise_Lakehouse","Wholesale_ProductSourcing_AFI.CustomerGrouping""",bronze,ref_customer_account_group,direct,bronze.ref_customer_account_group
11,"""Enterprise_Lakehouse","Wholesale_ProductSourcing_AFI.CustomerGrouping""",bronze,ref_customer_grouping,direct,bronze.ref_customer_grouping
12,"""Enterprise_Lakehouse","Customers.ShippingLocations""",bronze,ref_customer_shipping_location,direct,bronze.ref_customer_shipping_location
13,"""SupplyChain_Lakehouse","dbo.ref_forecast_cycle""",bronze,ref_forecast_cycle,direct,bronze.ref_forecast_cycle
14,unknown,"""manual""",bronze,ref_forecast_horizon,direct,bronze.ref_forecast_horizon
15,"""Enterprise_Lakehouse","MasterData_DW.DimItemMaster""",bronze,ref_item_master,direct,bronze.ref_item_master
16,"""Enterprise_Lakehouse","Wholesale_Codis_AFI.AAORDTYP""",bronze,ref_order_type,direct,bronze.ref_order_type
17,"""bronze","ref_product_edw""",bronze,ref_product,direct,bronze.ref_product
18,"""Enterprise_Lakehouse","SupplyChain_DW.DimAFIWarehouses""",bronze,ref_warehouse,direct,bronze.ref_warehouse
19,"""silver","slv_actual_demand_monthly""",gold,gld_fact_flat_forecast_actual,direct,gold.gld_fact_flat_forecast_actual
20,"""silver","slv_forecast_demand_monthly""",gold,gld_fact_flat_forecast_actual,direct,gold.gld_fact_flat_forecast_actual
21,"""silver","slv_naive_forecast_monthly""",gold,gld_fact_flat_forecast_actual,direct,gold.gld_fact_flat_forecast_actual
22,"""bronze","ref_forecast_horizon""",gold,gld_fact_forecast_kpi,direct,gold.gld_fact_forecast_kpi
23,"""silver","slv_actual_demand_monthly""",gold,gld_fact_forecast_kpi,direct,gold.gld_fact_forecast_kpi
24,"""silver","slv_forecast_demand_monthly""",gold,gld_fact_forecast_kpi,direct,gold.gld_fact_forecast_kpi
25,"""silver","slv_naive_forecast_monthly""",gold,gld_fact_forecast_kpi,direct,gold.gld_fact_forecast_kpi
26,"""bronze","ref_calendar""",silver,slv_actual_demand_monthly,direct,silver.slv_actual_demand_monthly
27,"""bronze","ref_customer_account_group""",silver,slv_actual_demand_monthly,direct,silver.slv_actual_demand_monthly
28,"""silver","slv_invoice_detail_line_level""",silver,slv_actual_demand_monthly,direct,silver.slv_actual_demand_monthly
29,"""silver","slv_open_order_line_level""",silver,slv_actual_demand_monthly,direct,silver.slv_actual_demand_monthly
30,"""bronze","ref_calendar""",silver,slv_actual_demand_weekly,direct,silver.slv_actual_demand_weekly
31,"""bronze","ref_customer_account_group""",silver,slv_actual_demand_weekly,direct,silver.slv_actual_demand_weekly
32,"""silver","slv_invoice_detail_line_level""",silver,slv_actual_demand_weekly,direct,silver.slv_actual_demand_weekly
33,"""silver","slv_open_order_line_level""",silver,slv_actual_demand_weekly,direct,silver.slv_actual_demand_weekly
34,"""bronze","brz_supplychain_enh_1__demandforecastsnapshotdaily""",silver,slv_forecast_demand_monthly,direct,silver.slv_forecast_demand_monthly
35,"""bronze","ref_calendar""",silver,slv_forecast_demand_monthly,direct,silver.slv_forecast_demand_monthly
36,"""bronze","ref_forecast_cycle""",silver,slv_forecast_demand_monthly,direct,silver.slv_forecast_demand_monthly
37,"""bronze","brz_saleshistory_afi__invoicedetail""",silver,slv_invoice_detail_line_level,direct,silver.slv_invoice_detail_line_level
38,"""bronze","brz_saleshistory_afi__invoiceheader""",silver,slv_invoice_detail_line_level,direct,silver.slv_invoice_detail_line_level
39,"""bronze","ref_customer_account_group""",silver,slv_invoice_detail_line_level,direct,silver.slv_invoice_detail_line_level
40,"""bronze","ref_calendar""",silver,slv_invoice_weekly,direct,silver.slv_invoice_weekly
41,"""silver","slv_invoice_detail_line_level""",silver,slv_invoice_weekly,direct,silver.slv_invoice_weekly
42,"""bronze","ref_calendar""",silver,slv_naive_forecast_monthly,direct,silver.slv_naive_forecast_monthly
43,"""silver","slv_actual_demand_monthly""",silver,slv_naive_forecast_monthly,direct,silver.slv_naive_forecast_monthly
44,"""bronze","brz_wholesale_codis_afi__codatan""",silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
45,"""bronze","brz_wholesale_codis_afi__comast""",silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
46,"""bronze","brz_wholesale_codis_afi__extord""",silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
47,"""bronze","brz_wholesale_codis_afi__extorit""",silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
48,"""bronze","ref_item_master""",silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
49,"""bronze","ref_order_type""",silver,slv_open_order_line_level,direct,silver.slv_open_order_line_level
50,"""bronze","ref_calendar""",silver,slv_open_order_monthly,direct,silver.slv_open_order_monthly
51,"""bronze","ref_customer_account_group""",silver,slv_open_order_monthly,direct,silver.slv_open_order_monthly
52,"""silver","slv_open_order_line_level""",silver,slv_open_order_monthly,direct,silver.slv_open_order_monthly
